id,name,price,location_lat,location_long,score_upvotes,score_views,creator_id,creator_is_premium,tags,start,end
1,vulputate vitae nisl,35.87,34.196619,-103.943072,2689,26890,7fc7144d-2219-4809-8c1d-6a0560800beb,TRUE,alliance,2021-04-14T07:52:40,2021-06-12T11:17:25
2,ac nibh fusce lacus purus aliquet at,,33.725485,-98.167195,118,1062,6109e129-de49-4c07-a663-b88241c610fe,FALSE,leading edge,2021-07-28T14:09:15,2021-11-01T08:57:09
3,nulla nisl nunc,91.93,29.51444,-101.059524,86,258,f7df48b9-6311-4ad6-874a-9b76c8e05135,TRUE,Synergistic|Digitized|Persistent|homogeneous|instruction set,2021-02-28T14:00:31,2021-04-12T11:31:09
4,vel enim sit amet nunc,63.96,33.537497,-94.469972,960,7680,614047cb-1ad8-4a17-92ae-4e8d80de859a,FALSE,Team-oriented|utilisation|secured line|24 hour,2021-07-01T03:22:56,2021-09-07T01:54:52
5,non pretium,60.19,32.481719,-100.026,1960,7840,1b692ab2-8921-4435-a39c-52a3781f99bf,TRUE,Exclusive|methodical|customer loyalty|stable,2021-11-11T21:13:36,2021-12-18T20:30:42
6,convallis tortor risus dapibus augue vel accumsan,36.19,31.353162,-100.12204,934,4670,c94546a3-4575-45d0-9e87-c0a4be4585bb,TRUE,Devolved,2021-06-21T14:47:04Z,
7,eleifend pede,,29.365392,-96.537375,2701,32412,96ac5a2f-34cb-4e00-abd5-7f9317c7b956,TRUE,Cloned,2021-10-03T08:47:53,2021-10-13T02:18:09
8,amet eros,45.52,33.546607,-97.919442,2072,10360,e4190832-14a7-4c08-9816-c1ef2f6a2d23,FALSE,Front-line|Future-proofed,2021-03-05T13:11:27,2021-07-26T00:28:59
9,non lectus,16.06,32.619756,-102.603525,2702,24318,3e4801c2-a95e-44a9-a5a5-0726f20463e7,FALSE,throughput|task-force|software|paradigm,2021-02-24T03:33:37Z,
10,tortor duis mattis egestas,,29.422734,-95.793065,1035,3105,b9fec028-49cf-469b-928b-3bfdf3d2829e,FALSE,Open-architected,2021-02-25T13:36:54,2021-07-30T14:27:29
11,consequat lectus in est risus,,32.338568,-102.398135,270,810,9117aab0-384c-4378-bce6-81becf3021bc,TRUE,Re-engineered,2021-04-15T04:30:20,2021-08-23T16:19:16
12,sapien arcu sed,31.39,31.613751,-98.832387,578,6936,cd676f4a-4ad4-4517-a347-6f8ea69c0270,TRUE,definition|actuating|clear-thinking|Reduced|Face to face,2021-06-08T22:23:57,2021-11-05T15:52:55
13,convallis tortor risus dapibus augue vel accumsan tellus,85.55,29.322775,-104.897959,64,512,965d9da9-fc4b-4069-b656-abffa6cc1955,TRUE,Multi-channelled|Centralized|moratorium,2021-04-30T04:23:47,2021-12-28T21:33:58
14,adipiscing lorem vitae mattis nibh ligula nec,5.94,32.649629,-97.984515,466,3262,efeb27aa-88d4-4de2-8449-c7daecc01cb5,FALSE,,2021-04-28T09:07:19,2021-05-17T12:43:44
15,habitasse platea dictumst aliquam,,30.368572,-95.743253,1463,14630,c1763b1c-1166-4b88-8005-fc021a6edae8,FALSE,multi-state|homogeneous|fault-tolerant|secured line|core,2021-03-25T01:28:27,2021-04-07T20:02:49
16,ante vel,59.1,32.884861,-94.739969,13,39,505c6550-126a-45db-8f86-8a77604bbe2e,TRUE,pricing structure|Ameliorated|leverage,2021-01-30T13:22:51,2021-11-11T01:20:24
17,in faucibus,74.58,29.111705,-103.28932,949,7592,aac0f8c1-1bc8-403b-a5f8-49330116723e,FALSE,Face to face|analyzing,2021-02-18T02:41:26,2021-05-25T23:16:22
18,eros suspendisse accumsan tortor quis,58.54,33.289505,-104.596723,190,570,8f14460a-5b4f-4cf7-9d16-e7156adfddd5,FALSE,portal|Future-proofed,2021-05-26T16:28:58,2021-10-18T04:31:59
19,morbi sem mauris laoreet ut rhoncus,6.09,29.073029,-98.852606,892,2676,0185d298-1305-4bd5-ad95-c7a76a06f069,FALSE,Quality-focused,2021-01-06T08:13:04,2021-11-04T04:45:49
20,erat vestibulum sed magna at,,33.19016,-99.349772,125,1000,739d45ae-1930-4372-bffa-eb74eb8c453d,FALSE,multi-state,2021-08-24T05:31:54,2021-08-24T09:18:11
